Material,Material Description,Sales department Email,Technical Department Email,Unnamed: 4,SourceFile,RFP_Title,RFP_End_Date,TDS_file_path,RowNumber,ColumnName,ExtractedMaterial,Name,Currency,* Manufacturer Part Number,Material Code,* Country of Origin,Comment,Monthly Delivery Quantity,MatchMethod,Reason for not bidding,* Manufacturer Name,Material PO Text,* Delivery time (in Days),Production Capacity Per Month
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738232.xls,RFQ - C001738232,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905516024/RFQ - C001738232/TDS-files,7,Name,905516024,"10    905516024          STRUCTURE,SURGE ARRESTER,...",SAR,,"905516024 10    905516024          STRUCTURE,SURGE ARRESTER,GSTL",,,,,,,,,
908202044,"PLATE,EARTHWIRE SPRT,GS,64MM WDX40MM DP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/904205931/RFQ - C001738317/TDS-files,9,Name,904205931,"30    904205931          ROPE,WIRE,212 KN,18 MM DI...",SAR,,"904205931 30    904205931          ROPE,WIRE,212 KN,18 MM DIA,800 M LG,#FUX",,,,,,,,,
908121037,"CONN,ELEC,EL,DB",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905712638/RFQ - C001738317/TDS-files,19,Name,905712638,"130   905712638          TAPE,ELEC,VINYL PLASTIC,1...",SAR,,"905712638 130   905712638          TAPE,ELEC,VINYL PLASTIC,11 KV,#88T36FT",,,,,,,,,
908121037,"CONN,ELEC,EL,DB",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905924229/RFQ - C001738317/TDS-files,25,Name,905924229,"190   905924229          TAPE,ELEC,VINYL PLASTIC,2...",SAR,,"905924229 190   905924229          TAPE,ELEC,VINYL PLASTIC,2500 VAC,#3706WH",,,,,,,,,
908423001,"BOX,M,4CUST,150A,380V,INDR,400X230X1900",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/909100352/RFQ - C001738317/TDS-files,26,Name,909100352,"200   909100352          TESTER:ELECTRICAL,WET/DRY...",SAR,,"909100352 200   909100352          TESTER:ELECTRICAL,WET/DRY HOT STICK,230",,,,,,,,,
905902283,"CABLE, PWR, 600V/1KV, CU, 1C, 35MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,908111001.0,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/909104018/RFQ - C001738317/TDS-files,27,Name,909104018,"210   909104018          GRINDER,ELEC,18 V LI,4,60...",SAR,,"909104018 210   909104018          GRINDER,ELEC,18 V LI,4,60HZ,10,000 RPM",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/909104245/RFQ - C001738317/TDS-files,28,Name,909104245,"220   909104245          GRIP,CABLE/WIRE,ACSR/STL,...",SAR,,"909104245 220   909104245          GRIP,CABLE/WIRE,ACSR/STL,#162830T",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/909104246/RFQ - C001738317/TDS-files,29,Name,909104246,"230   909104246          GRIP,CABLE/WIRE,ACSR/STL,...",SAR,,"909104246 230   909104246          GRIP,CABLE/WIRE,ACSR/STL,#162840W",,,,,,,,,
908202195,"WIRE,GUY,STL,12MM DIA,7/4MM,101KN,LH",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/909205700/RFQ - C001738317/TDS-files,35,Name,909205700,"290   909205700          WIRE,GUY,STEEL WIRE,212KN...",SAR,,"909205700 290   909205700          WIRE,GUY,STEEL WIRE,212KN,12MM DIA,#316G",,,,,,,,,
909205896,,,,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/909205896/RFQ - C001738317/TDS-files,36,Name,909205896,"300   909205896          BINOCULARS,ZEIZZ,POWERLES...",SAR,,"909205896 300   909205896          BINOCULARS,ZEIZZ,POWERLESS",,,,keyword,,,,,
908202055,"SHACKLE,ANCHOR,FSTL,16MM DIA,45KN MIN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905752890/RFQ - C001738317/TDS-files,42,Name,905752890,"360   905752890          GRIP,CABLE/WIRE,FSTL,#162...",SAR,,"905752890 360   905752890          GRIP,CABLE/WIRE,FSTL,#162830",,,,,,,,,
908202055,"SHACKLE,ANCHOR,FSTL,16MM DIA,45KN MIN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905752890/RFQ - C001738317/TDS-files,43,Name,905752890,"370   905752890          GRIP,CABLE/WIRE,FSTL,#162...",SAR,,"905752890 370   905752890          GRIP,CABLE/WIRE,FSTL,#162830",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905832561/RFQ - C001738317/TDS-files,45,Name,905832561,"390   905832561          GRIP,CABLE/WIRE,ACAR,4/0,...",SAR,,"905832561 390   905832561          GRIP,CABLE/WIRE,ACAR,4/0,#165640165640HS",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905832561/RFQ - C001738317/TDS-files,46,Name,905832561,"400   905832561          GRIP,CABLE/WIRE,ACAR,4/0,...",SAR,,"905832561 400   905832561          GRIP,CABLE/WIRE,ACAR,4/0,#165640165640HS",,,,,,,,,
908101103,"TOOL,COVER INSTALL,HAND,#MVLC-02",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/14/2026 11:45 PM,RFP-logs/ALLRFPs/905902004/RFQ - C001738317/TDS-files,51,Name,905902004,"450   905902004          KIT,TOOL,MASTER ELECTRICI...",SAR,,"905902004 450   905902004          KIT,TOOL,MASTER ELECTRICIAN,HANDLE,NUT D",,,,,,,,,
908202002,"BAND,STRAPPING,SSTL,20MM WD X 0.70MM TH",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP- C001733670.xls,SEC RFP- C001733670,02/16/2026 11:45 PM,RFP-logs/ALLRFPs/905901562/SEC RFP- C001733670/TDS-files,9,Name,905901562,"30    905901562          WIRE:THERMOCOUPLE,17.4 MM...",SAR,,"905901562 30    905901562          WIRE:THERMOCOUPLE,17.4 MM DIA,10 M LG,SS",,,,,,,,,
909501538,,,,,SEC RFP- C001736630.xls,SEC RFP- C001736630,02/15/2026 11:45 PM,RFP-logs/ALLRFPs/909501538/SEC RFP- C001736630/TDS-files,7,Name,909501538,10    909501538          CNDCTR:ELEC,SAR,,909501538 10    909501538          CNDCTR:ELEC,,,,keyword,,,,,
905902283,"CABLE, PWR, 600V/1KV, CU, 1C, 35MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,908111001.0,SEC RFP- C001738316 - 6001738316.xls,SEC RFP- C001738316 - 6001738316,02/24/2026 11:45 PM,RFP-logs/ALLRFPs/909100751/SEC RFP- C001738316 - 6001738316/TDS-files,7,Name,909100751,"10    909100751          CABLE,ELEC,CU,PVC,70,1",,19940107.0,,,,,,,Bahra Electric,";Material PO text:
CABLE,ELECTRICAL:
CONDUCTOR MATERIAL:
CU;
CONDUCTOR SIZE:
70 SQMM;
NO. OF CONDUCTOR:
1C;
VOLTAGE:
0.6/1 KV;
INSULATION MATERIAL:
PVC;
INSULATION COLOR:
YELLOW, GREEN;
INSULATION SHIELD:
SEMICONDUCTING COATING;
METALLIC SHIELD:
NA;
METALLIC SHEATH:
NA;
BEDDING:
NA;
ARMOR:
NA;
JACKET MATERIAL:
PVC;
JACKET COLOR:
YELLOW, GREEN;
STANDARD/SPECIFICATION:
11-TMSS-10 REV. 02/IEC 60502-1;
ADDITIONAL DATA:
FLEXIBLE EARTH COPPER CABLE, 1X70MM2, P
VC, GREEN YELLOW
PLEASE VISIT THE E-BIDDING PORTAL FOR
MORE SPECIFICS REGARDING THE
BARCODE/LABEL FORMAT AND TECHNICAL
ASPECTS OF THE GS1 DATA MATRIX BARCODE.",60.0,
