timestamp,rfp_id,record_id,field,old_value,new_value,diff_status,result
2026-05-13 23:38:11,SEC RFP C001517252,20a32148-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPF%2BZxSsu&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:11,SEC RFP C001517252,20a32148-de28-f111-88b4-7c1e5278f52e,owner_name,,Ayman A AlMramhi,MISSING,OK
2026-05-13 23:38:11,SEC RFP C001517252,20a32148-de28-f111-88b4-7c1e5278f52e,publish_time,,9/8/2024 1:06 AM,MISSING,OK
2026-05-13 23:38:11,SEC RFP C001517252,20a32148-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:12,SEC RFP-C001513924 - 6001513924,158ab04e-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPF7whHqn&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:12,SEC RFP-C001513924 - 6001513924,158ab04e-de28-f111-88b4-7c1e5278f52e,publish_time,,8/29/2024 6:19 AM,MISSING,OK
2026-05-13 23:38:12,SEC RFP-C001513924 - 6001513924,158ab04e-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:14,SEC RFP-C001505350,178ab04e-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPF11GXEx&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:14,SEC RFP-C001505350,178ab04e-de28-f111-88b4-7c1e5278f52e,owner_name,,SALAH AHMED ALI AL MUTAWAH,MISSING,OK
2026-05-13 23:38:14,SEC RFP-C001505350,178ab04e-de28-f111-88b4-7c1e5278f52e,publish_time,,8/12/2024 11:18 AM,MISSING,OK
2026-05-13 23:38:14,SEC RFP-C001505350,178ab04e-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:15,SEC RFP-C001513890,198ab04e-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPF7t8zFa&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:15,SEC RFP-C001513890,198ab04e-de28-f111-88b4-7c1e5278f52e,owner_name,,TURKI ABDULLAH ALAHMARI,MISSING,OK
2026-05-13 23:38:15,SEC RFP-C001513890,198ab04e-de28-f111-88b4-7c1e5278f52e,publish_time,,8/29/2024 4:57 AM,MISSING,OK
2026-05-13 23:38:15,SEC RFP-C001513890,198ab04e-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:16,SEC RFP-C001512003,879df554-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPF6SgYiR&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:16,SEC RFP-C001512003,879df554-de28-f111-88b4-7c1e5278f52e,owner_name,,KHALID MOHAMMAD YAHYA ALSHAMIKH ALQAHTANI,MISSING,OK
2026-05-13 23:38:16,SEC RFP-C001512003,879df554-de28-f111-88b4-7c1e5278f52e,publish_time,,8/26/2024 1:27 AM,MISSING,OK
2026-05-13 23:38:16,SEC RFP-C001512003,879df554-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:17,SEC RFP-C001510112 - 6001510112,909df554-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPF46scBv&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:17,SEC RFP-C001510112 - 6001510112,909df554-de28-f111-88b4-7c1e5278f52e,publish_time,,8/21/2024 4:04 AM,MISSING,OK
2026-05-13 23:38:17,SEC RFP-C001510112 - 6001510112,909df554-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:18,SEC RFP- C001485625,c39df554-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPFjMdBV9&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:18,SEC RFP- C001485625,c39df554-de28-f111-88b4-7c1e5278f52e,owner_name,,KHALED ABDULHAMID ABDULJABAR AL YALAK,MISSING,OK
2026-05-13 23:38:18,SEC RFP- C001485625,c39df554-de28-f111-88b4-7c1e5278f52e,publish_time,,6/11/2024 3:23 AM,MISSING,OK
2026-05-13 23:38:18,SEC RFP- C001485625,c39df554-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:19,SEC RFPC001485908,cc9df554-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPFjgBcam&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:19,SEC RFPC001485908,cc9df554-de28-f111-88b4-7c1e5278f52e,owner_name,,BADR OMEER MOHAMMED ALSHAHRANY,MISSING,OK
2026-05-13 23:38:19,SEC RFPC001485908,cc9df554-de28-f111-88b4-7c1e5278f52e,publish_time,,6/11/2024 11:13 PM,MISSING,OK
2026-05-13 23:38:19,SEC RFPC001485908,cc9df554-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:21,SEC RFP-C001485579 - 6001485579,d49df554-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPFjIFttT&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:21,SEC RFP-C001485579 - 6001485579,d49df554-de28-f111-88b4-7c1e5278f52e,publish_time,,6/11/2024 1:31 AM,MISSING,OK
2026-05-13 23:38:21,SEC RFP-C001485579 - 6001485579,d49df554-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:22,SEC RFP-C001483935,dc9df554-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPFip2cGP&awcharset=UTF-8,MISSING,OK
2026-05-13 23:38:22,SEC RFP-C001483935,dc9df554-de28-f111-88b4-7c1e5278f52e,publish_time,,6/10/2024 12:15 AM,MISSING,OK
2026-05-13 23:38:22,SEC RFP-C001483935,dc9df554-de28-f111-88b4-7c1e5278f52e,rfp_type,,RFP,MISSING,OK
2026-05-13 23:38:23,SEC RFP-C001478687,60e1f95a-de28-f111-88b4-7c1e5278f52e,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPFdODU%2BL&awcharset=UTF-8,MISSING,OK
